WTeamID,WScore,LTeamID,LScore,WLoc
Virginia Tech Hokies,81,Notre Dame Fighting Irish,66,H
Duke Blue Devils,87,Wake Forest Demon Deacons,65,A
Georgia Tech Yellow Jackets,73,Pittsburgh Panthers,65,H
Duke Blue Devils,75,Syracuse Orange,65,A
Virginia Cavaliers,64,Louisville Cardinals,52,A
Clemson Tigers,76,Boston College Eagles,66,H
Miami (FL) Hurricanes,80,Georgia Tech Yellow Jackets,65,H
North Carolina Tar Heels,77,Florida State Seminoles,59,H
Virginia Tech Hokies,67,Notre Dame Fighting Irish,59,A
North Carolina State Wolfpack,94,Wake Forest Demon Deacons,74,H
Florida State Seminoles,68,Notre Dame Fighting Irish,61,H
Virginia Tech Hokies,77,Duke Blue Devils,72,H
North Carolina Tar Heels,90,North Carolina State Wolfpack,82,A
Wake Forest Demon Deacons,76,Miami (FL) Hurricanes,75,H
North Carolina Tar Heels,93,Syracuse Orange,85,H
Clemson Tigers,62,Pittsburgh Panthers,48,A
Virginia Cavaliers,81,Georgia Tech Yellow Jackets,51,H
Boston College Eagles,66,Louisville Cardinals,59,H
North Carolina Tar Heels,81,Clemson Tigers,79,A
Florida State Seminoles,78,North Carolina State Wolfpack,73,H
Syracuse Orange,79,Wake Forest Demon Deacons,54,A
Virginia Cavaliers,73,Pittsburgh Panthers,49,H
Duke Blue Devils,87,Miami (FL) Hurricanes,57,H
Virginia Tech Hokies,52,Georgia Tech Yellow Jackets,49,A
Louisville Cardinals,75,Notre Dame Fighting Irish,61,H
Georgia Tech Yellow Jackets,81,Boston College Eagles,78,H
Virginia Cavaliers,79,Syracuse Orange,53,A
Duke Blue Devils,71,Wake Forest Demon Deacons,70,H
Florida State Seminoles,73,Virginia Tech Hokies,64,H
Miami (FL) Hurricanes,76,Pittsburgh Panthers,63,H
North Carolina Tar Heels,79,Boston College Eagles,66,A
Clemson Tigers,64,Notre Dame Fighting Irish,62,A
Georgia Tech Yellow Jackets,63,North Carolina State Wolfpack,61,A
Virginia Tech Hokies,84,Miami (FL) Hurricanes,70,H
Syracuse Orange,61,Clemson Tigers,53,H
Virginia Cavaliers,73,Louisville Cardinals,68,H
Florida State Seminoles,65,Wake Forest Demon Deacons,57,A
Clemson Tigers,67,Syracuse Orange,55,H
Pittsburgh Panthers,56,Notre Dame Fighting Irish,53,H
North Carolina State Wolfpack,73,Boston College Eagles,47,A
North Carolina Tar Heels,79,Duke Blue Devils,70,H
Miami (FL) Hurricanes,79,Wake Forest Demon Deacons,71,H
Notre Dame Fighting Irish,78,Georgia Tech Yellow Jackets,71,A
Pittsburgh Panthers,80,Boston College Eagles,70,A
North Carolina State Wolfpack,59,Clemson Tigers,58,H
Pittsburgh Panthers,89,Louisville Cardinals,86,H
Virginia Tech Hokies,71,Miami (FL) Hurricanes,56,H
Louisville Cardinals,75,Notre Dame Fighting Irish,53,H
Syracuse Orange,73,Pittsburgh Panthers,59,H
Virginia Cavaliers,76,North Carolina State Wolfpack,56,H
Florida State Seminoles,65,Virginia Tech Hokies,63,H
North Carolina Tar Heels,83,Louisville Cardinals,70,H
Duke Blue Devils,84,Syracuse Orange,72,H
Florida State Seminoles,69,Virginia Cavaliers,59,A
Duke Blue Devils,74,North Carolina Tar Heels,73,A
Duke Blue Devils,73,Florida State Seminoles,63,H
Florida State Seminoles,68,Miami (FL) Hurricanes,62,H
Virginia Cavaliers,83,Boston College Eagles,56,A
Notre Dame Fighting Irish,69,Boston College Eagles,66,H
Virginia Cavaliers,63,Clemson Tigers,43,A
North Carolina State Wolfpack,86,Pittsburgh Panthers,80,H
North Carolina State Wolfpack,87,Miami (FL) Hurricanes,82,A
Louisville Cardinals,83,North Carolina Tar Heels,62,A
Duke Blue Devils,80,Florida State Seminoles,78,A
Miami (FL) Hurricanes,76,Wake Forest Demon Deacons,65,H
Georgia Tech Yellow Jackets,73,Syracuse Orange,59,A
Syracuse Orange,95,Duke Blue Devils,91,A
Pittsburgh Panthers,75,Florida State Seminoles,62,H
Wake Forest Demon Deacons,71,North Carolina State Wolfpack,67,H
Virginia Cavaliers,81,Virginia Tech Hokies,59,H
North Carolina Tar Heels,75,Notre Dame Fighting Irish,69,H
Louisville Cardinals,80,Boston College Eagles,70,H
Duke Blue Devils,87,Clemson Tigers,68,H
Clemson Tigers,72,Georgia Tech Yellow Jackets,60,H
Duke Blue Devils,72,Virginia Cavaliers,70,H
North Carolina Tar Heels,85,Miami (FL) Hurricanes,76,A
North Carolina State Wolfpack,77,Notre Dame Fighting Irish,73,A
Syracuse Orange,74,Pittsburgh Panthers,63,H
Virginia Tech Hokies,87,Wake Forest Demon Deacons,71,H
Louisville Cardinals,79,Georgia Tech Yellow Jackets,51,A
Boston College Eagles,87,Florida State Seminoles,82,H
North Carolina Tar Heels,103,Virginia Tech Hokies,82,H
Florida State Seminoles,77,Clemson Tigers,68,H
Virginia Tech Hokies,77,Boston College Eagles,66,H
Georgia Tech Yellow Jackets,63,Notre Dame Fighting Irish,61,H
Virginia Cavaliers,68,Wake Forest Demon Deacons,45,H
Duke Blue Devils,79,Pittsburgh Panthers,64,A
Louisville Cardinals,84,North Carolina State Wolfpack,77,H
Syracuse Orange,73,Miami (FL) Hurricanes,53,H
Duke Blue Devils,66,Georgia Tech Yellow Jackets,53,H
Virginia Cavaliers,82,Notre Dame Fighting Irish,55,A
Louisville Cardinals,66,Pittsburgh Panthers,51,H
North Carolina State Wolfpack,69,Clemson Tigers,67,H
Boston College Eagles,65,Wake Forest Demon Deacons,61,A
Syracuse Orange,72,Notre Dame Fighting Irish,62,A
Virginia Tech Hokies,78,Syracuse Orange,56,H
Florida State Seminoles,78,Miami (FL) Hurricanes,66,A
Duke Blue Devils,83,Notre Dame Fighting Irish,61,A
Virginia Cavaliers,66,North Carolina State Wolfpack,65,A
North Carolina Tar Heels,77,Georgia Tech Yellow Jackets,54,A
Clemson Tigers,82,Pittsburgh Panthers,69,H
Virginia Tech Hokies,82,Miami (FL) Hurricanes,70,A
Syracuse Orange,77,Boston College Eagles,71,A
Louisville Cardinals,82,Wake Forest Demon Deacons,54,A
North Carolina Tar Heels,79,Louisville Cardinals,69,A
North Carolina Tar Heels,85,Pittsburgh Panthers,60,A
Virginia Tech Hokies,47,North Carolina State Wolfpack,24,A
Florida State Seminoles,59,Georgia Tech Yellow Jackets,49,H
Notre Dame Fighting Irish,79,Boston College Eagles,73,A
Virginia Cavaliers,56,Miami (FL) Hurricanes,46,H
Syracuse Orange,65,Pittsburgh Panthers,56,A
Clemson Tigers,64,Wake Forest Demon Deacons,37,H
Louisville Cardinals,72,Virginia Tech Hokies,64,A
Duke Blue Devils,80,Boston College Eagles,55,H
Wake Forest Demon Deacons,78,Pittsburgh Panthers,76,H
North Carolina Tar Heels,113,North Carolina State Wolfpack,96,H
Georgia Tech Yellow Jackets,92,Wake Forest Demon Deacons,79,H
Florida State Seminoles,80,Syracuse Orange,62,A
Clemson Tigers,65,Georgia Tech Yellow Jackets,42,A
Miami (FL) Hurricanes,62,Notre Dame Fighting Irish,47,H
North Carolina Tar Heels,88,Miami (FL) Hurricanes,85,H
Clemson Tigers,59,Virginia Tech Hokies,51,H
North Carolina State Wolfpack,79,Pittsburgh Panthers,76,A
Syracuse Orange,67,Boston College Eagles,56,H
Florida State Seminoles,80,Louisville Cardinals,75,H
Duke Blue Devils,81,Virginia Cavaliers,71,A
Notre Dame Fighting Irish,69,Georgia Tech Yellow Jackets,59,H
Virginia Cavaliers,65,Florida State Seminoles,52,H
Virginia Cavaliers,69,North Carolina Tar Heels,61,A
Boston College Eagles,66,Pittsburgh Panthers,57,H
Duke Blue Devils,71,Louisville Cardinals,69,A
Miami (FL) Hurricanes,65,Clemson Tigers,64,H
Florida State Seminoles,88,Wake Forest Demon Deacons,66,H
North Carolina State Wolfpack,73,Syracuse Orange,58,H
Virginia Tech Hokies,76,Georgia Tech Yellow Jackets,68,H
Duke Blue Devils,94,North Carolina State Wolfpack,78,H
North Carolina Tar Heels,95,Wake Forest Demon Deacons,57,A
Louisville Cardinals,56,Clemson Tigers,55,H
Louisville Cardinals,90,Miami (FL) Hurricanes,73,H
Virginia Cavaliers,60,Notre Dame Fighting Irish,54,H
Florida State Seminoles,69,Georgia Tech Yellow Jackets,47,A
Virginia Tech Hokies,70,Pittsburgh Panthers,64,A
Boston College Eagles,64,Miami (FL) Hurricanes,57,H
Virginia Cavaliers,64,Virginia Tech Hokies,58,A
Wake Forest Demon Deacons,75,Notre Dame Fighting Irish,68,A
Florida State Seminoles,77,Clemson Tigers,64,A
North Carolina State Wolfpack,89,Boston College Eagles,80,H
Syracuse Orange,69,Louisville Cardinals,49,H
North Carolina Tar Heels,88,Duke Blue Devils,72,A